Title,Genre,Description
Chal Chala Chal,"Action,Comedy,Crime",Pune-based widower Omkar Nath used to work as a Headmaster with a local school. When he was fired  his son  Deepak  hired a lawyer to sue the school. The school was represented by none ...                    
Billu,"Comedy,Drama",In an Indian village  a struggling barber sees his luck begin to turn when residents learn that a famous actor he once knew is coming to town.
The Stoneman Murders,"Crime,Drama,Mystery",In 1980s Bombay  a serial killer starts targeting homeless street dwellers  whilst a suspended police officer attempts to solve the case.
Kisse Pyaar Karoon?,"Action,Comedy,Crime",Two men abduct a woman who wants to alienate them from their friend.
Dhoondte Reh Jaoge,"Comedy,Drama",A failed film producer and an unemployed Chartered Accountant decide to make a 'sure flop' movie
Karma Confessions and Holi,Drama,The film is based on the inner conflicts of relationships  which hitherto never spoken earlier  but in a festive atmosphere of Holi  each one loses the inhibitions. The relationships eventually come out stronger.
Victory,"Drama,Sport",An over confident cricketer who ruins his career must prove his worth by starting all over again
Kaminey,"Action,Crime,Drama",The desperate lives of two estranged twin brothers converge over missing drugs  politics  racial prejudice  corrupt cops and an unplanned pregnancy.
Jai Veeru: Friends Forever,"Action,Adventure,Crime",Best friends Jai and Veeru teams up together to nab the dreaded don Tejpal. In the process their friendship is tested.
Little Zizou,"Drama,Family",A boy's view of his community in modern day Mumbai.
Gulaal,"Crime,Drama,Thriller",A law student witnesses deception  homicide  and crime after being elected as General Secretary of his college.
Aloo Chaat,"Comedy,Drama,Romance",Story focuses on a US return guy Nikhil who is in love with a Muslim girl Aamna (Aamna Shariff). To convince his orthodox Hindu family which a strictly against a Muslim girl Nikhil plots a ...                    
Barah Aana,"Comedy,Crime,Drama",Three impoverished room-mates kidnap middle-classed men and demand small ransoms to improve their respective lifestyles.
Firaaq,"Drama,History",Chronicles the devastating impact on vulnerable Muslims in Gujarat after riots.
Aa Dekhen Zara,"Action,Sci-Fi,Thriller",A photographer has nothing going for him  until he inherits a camera that has the ability to predict the future. In the process  he gains dangerous enemies who wants his camera for illicit goals.
99,"Comedy,Crime,Drama",A gangster deputes two of his men to recover money from an out of town compulsive gambler.
Ek: The Power of One,"Action,Drama,Thriller",A gunman for hire is framed for murder  and assumes a dead man's identity while hiding from the police.
Ek Se Bure Do,"Action,Comedy,Crime",Two petty thieves face-off against gangsters  bandits and police after forging a treasure map.
Sikandar,"Crime,Drama,Mystery",14-year-old Sikandar Raza has been living with his uncle and aunt in Kashmir  ever since his parents were killed by militants 10 years ago. The young boy  who dreams of a better life for ...                    
Zor Lagaa Ke... Haiya!,"Comedy,Drama,Family",Children build a tree-house to spy on a beggar  than seek his help against a builder.
Paying Guests,"Comedy,Drama",Four friends' attempts to find employment and accommodation pits them against landlords and gangsters in Bangkok.
New York,"Crime,Drama,Thriller",A contemporary story of 3 friends discovering a new world set against the larger than life New York City. But one day the world around them changed.
Sankat City,"Comedy,Crime,Drama",A petty car thief and his garage-owner partner get in the bad books of a ruthless gangster.
Shortkut - The Con Is On,"Comedy,Drama",After his script is plagiarized  and he is forced to marry  an unemployed movie writer self-destructs.
Luck,"Action,Adventure,Drama",An underworld kingpin recruits people endowed with 'Luck' from across the globe to take part in a series of challenges designed to test their 'Luck' factor  as gamblers around the world bet on them.
Life Partner,"Comedy,Drama,Romance",Based in Cape Town  specializing in divorces  Jeet Oberoi warns his friends  Karan Malhotra and Bhavesh Patel  about the many disadvantages of being involved in a married relationship. He ...                    
Daddy Cool: Join the Fun,"Comedy,Drama",Wealthy Goa-based Income Tax Officer Douglas Lazarus passes away after exercising on his treadmill at a speed of 10.5. A funeral is arranged  relatives are notified  and his eldest ...                    
Kisaan,"Action,Crime,Drama",Widower farmer  Dayal Singh  based in Palheri in the District of Chandigarh  witnesses the exploitation of farmers at the hands of Zamindars. He decides to send his elder son  Aman  to the ...                    
Y.M.I. Yeh Mera India,"Crime,Drama,Thriller",Lives of several people intertwine during an eventful day in Mumbai.
Aagey Se Right,"Comedy,Crime,Drama",Spurred on by his pushy mother  Kanta  slacker Dinkar Waghmare  infatuated with TV Reporter  Soniya Bhatt  is compelled to join the Mumbai Police Force as a Sub-Inspector and follow in his ...                    
Chintu Ji,"Comedy,Drama",Rishi  the son of legendary Raj Kapoor  decides to try his hand at politics  and to garner support  re-locates to his birth village  Hadbahedi. The village is located in an isolated area ...                    
Quick Gun Murugun: Misadventures of an Indian Cowboy,"Action,Comedy,Drama",A once-dead vegetarian cowboy is sent back to life to battle a beef-eating villain.
Fox,"Crime,Drama,Mystery",A disgraced lawyer-turned-author is arrested for multiple homicides.
Baabarr,"Action,Crime,Drama",A young lad from a crime-laden family grows up to be a much-feared gangster.
Phir Kabhi,"Drama,Romance",Hari Singh has been married to Lakshmi for about 40 years  is the father of a male child  who is employed in America  while his wife  Divya  and daughter  Sonia  live with them in a very ...                    
Vaada Raha... I Promise,Drama,Dr. Duke Chawla  a paralytic patient awaits death as his fiancee leaves him. However  he befriends a boy who's terminally ill  helps him to live life the fullest.
Dil Bole Hadippa!,"Comedy,Drama,Sport",In a village where girls don't play cricket  Veera puts on a turban and beard and becomes Veer to fulfill her dreams and meets Rohan. And fun begins.
What's Your Raashee?,"Comedy,Drama,Romance",A young man has only ten days to locate his soulmate as dictated by the stars  otherwise he could lose a fortune. He thus embarks on a journey through love  looking through twelve girls to find the one who fits his horoscope.
Acid Factory,"Action,Crime,Mystery",Five people trapped in a factory where two hostages and three are kidnappers but they them self do not know who are kidnappers and hostages.As they all are suffering from temporary memory loss.
All the Best: Fun Begins,"Action,Comedy,Drama",The unexpected arrival of his elder NRI brother and assorted characters complicates the life of a Goan male.
Wake Up Sid,"Comedy,Drama,Romance","A spoiled young adult living in Mumbai experiences a change in his lazy ways when he meets a woman at a party  who inspires him to ""wake up""."
Main Aurr Mrs Khanna,"Comedy,Drama,Romance",An unhappily married couple find love in strange situations.
Blue,"Action,Adventure,Thriller",A group of people  facing a lot of challenges  decide to hunt down lost treasure en route to India.
Bal Ganesh 2,Animation,Lord Ganesha evolves from a mischievous boy  who is not only innocent but also intelligent  to an elephant-headed god  who embarks on a series of adventures with his friends to defeat evil forces.
Fruit & Nut,"Comedy,Crime,Drama",Eccentric  badly in debt  Mumbai Municipal employee  Jolly Maker  is infatuated with Monica Gokhale  a member of the Mumbai Heritage Society. He gets his chance to prove his worth when he ...                    
Aladin,"Action,Adventure,Fantasy",Since he was a child  Aladin Chatterjee has been teased for his fairytale name. As a college student he follows his namesake's footsteps; unleashing genie Genius and wooing exchange student Jasmine. But the evil Ringmaster approaches.
London Dreams,"Drama,Music",The story revolves around two childhood friends Arjun and Munnu who find a way to get from a small village in India to Wembley as Rock stars  having overcome their personalities.
Jail,Drama,Remanded to policy custody  a man reviews his options in an overcrowded jail while awaiting trial.
Tum Mile,"Drama,Romance",Two former lovers experience life-threatening floods in Mumbai.
Kurbaan,"Action,Crime,Drama",A woman finds that her neighbors are terrorists  and her husband is not who he claims to be.
De Dana Dan,"Comedy,Crime",Two down on their luck men tries to kidnap a wealthy businesswoman's dog to demand a hefty ransom from her. Things goes haywire when the dog goes missing.
Paa,"Comedy,Drama",A father tries to help his son cope with a rare condition that causes the young boy to age beyond his years.
Rocket Singh: Salesman of the Year,"Comedy,Drama",A story of a fresh graduate trying to find a balance between the maddening demands of the 'professional' way  and the way of his heart.
Raat Gayi Baat Gayi?,"Comedy,Drama",Following a wild party  a married man meets with his friends in order to try and remember his indiscretions.
Accident on Hill Road,"Crime,Drama,Thriller",In order not to jeopardize her overseas career  an impaired woman  who had just run over a male  decides to conceal her crime with the victim trapped in the windshield.
Chandni Chowk to China,"Action,Comedy",An action-comedy about a simple cook from Chandni Chowk mistaken for the reincarnation of an ancient peasant warrior Liu Shengh by residents of an oppressed Chinese village.
Dostana,"Comedy,Drama,Romance",Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha  hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart.
Race,"Action,Crime,Drama",Destiny makes two brothers- Ranvir and Rajiv - enemies of each other. Everything is fair in love and war.
Rab Ne Bana Di Jodi,"Comedy,Drama,Music",A breathtaking  goose flesh igniting  awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.
Ghajini,"Action,Drama,Mystery",A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.
Singh Is Kinng,"Action,Comedy,Crime",A comic caper about Happy Singh  a Punjabi villager who goes through a series of misadventures and eventually becomes the Kinng of the Australian underworld.
Golmaal Returns,"Comedy,Crime",A man is sandwiched between his over possessive wife and a police inspector  where he is suspected for adultery and murder.
Jodhaa Akbar,"Action,Drama,History",A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor  Akbar  and a Rajput princess  Jodha.
Bachna Ae Haseeno,"Comedy,Drama,Romance",Raj is a heartbreaker. His love stories with Mahi  Radhika and Gayatri finally teach him about love and life in their own sweet  sexy and sassy way.
Bhoothnath,"Comedy,Drama,Family",Moving into a new house  a family witnesses an unfriendly ghost who wants to drive them away from the house. However  he befriends a little boy who changes his outlook forever.
Sarkar Raj,"Crime,Drama",When Anita Rajan  CEO of Sheppard power plant  an international Company  brings a power plant proposal to set up in rural Maharashtra before the Nagres  insightful Shankar is quick to ...                    
Halla Bol,"Crime,Drama",A popular Bollywood actor witnesses a murder but refuses to come forward to identify the killer(s).
Humne Jeena Seekh Liya,Drama,Ashwin (Siddharth Chandekar)  Lochya (Omkar Bhatkar)  and Salman (Pratik Shelar) are inseparable friends at the New English School. They are experiencing the onset of adulthood through ...                    
Bombay to Bangkok,"Comedy,Crime,Romance",A chef  in possession of a stolen gangster's money  flees to Thailand where he poses as a doctor.
Tulsi: Mathrudevobhava,Drama,Tulsi and Suraj are blessed with four kids. But Tulsi is diagnosed with cancer and Suraj gets killed. Tulsi takes the decision to have her children adopted to good families before she passes away.
Sunday,"Action,Comedy,Mystery",An amnesiac woman fears a missing day in her life may connect her to a crime  and tries to retrace her steps between Saturday evening and Monday morning.
One Two Three,"Comedy,Crime",Three strangers with the same name  Laxminarayan  travel to Pondi with their tasks. Chaos ensues when they are mistaken for each other as they stay in the same hotel.
Krazzy 4,"Comedy,Crime,Drama",4 mental patients formulate the plan to rescue their kidnapped doctor and teach the kidnappers a lesson.
U Me Aur Hum,"Drama,Romance",Ajay's life turns upside down when he learns that his wife Piya has Alzheimer and he has no option  but to leave his wife in a mental hospital.
Sirf....: Life Looks Greener on the Other Side,Drama,An Assistant Director in Bollywood  Rahul Bajaj is in love with Shalu. He wants to marry her  so meets her parents and gets their conditional approval. However  he is given 3 months to find...                    
Tashan,"Action,Drama,Romance",What happens when you throw 2 guys who hate each other together? Add for good measure a beauty and a gangster and the trouble is no one can be trusted.
Anamika: The Untold Story,"Drama,Romance,Thriller",Middle-classed  slender and petite Jia Rao meets Gajner's recently widowed Kunver Vikram Aditya Singh Sesodia  both fall in love  get married  and re-locate to live in his palace in ...                    
Jimmy,"Action,Crime,Drama",In the dead of the night  a young woman's dead body is recovered by the police. All leads point to Jimmy. A mechanical engineer by day and a dancing sensation by night  Jimmy works as a DJ ...                    
Jannat: In Search of Heaven...,"Crime,Drama,Romance",Arjun is a reckless young man with an obsession for making money at card games. A chance meeting with a girl in a mall  Zoya  gives him the reasons he was looking for the move out of his ...                    
Don Muthu Swami,"Comedy,Drama",Don Muthu Swami is one of Bombay's most fearsome gangsters. On his deathbed  his father forces him to make a promise: that from now on he will lead a decent life. From that moment onwards  ...                    
Woodstock Villa,"Drama,Mystery,Thriller",A businessman is distraught after refusing to follow the instructions of his wife's kidnapper.
Mere Baap Pehle Aap,"Comedy,Drama,Romance",A son reunites his widowed father to the long lost lover of the latter and urges him to marry.
Summer 2007,"Crime,Drama,Thriller",Believing in 'beginner's luck'  Rahul Sharma  encouraged by three other fellow-medical students of Mumbai's Kasturba Medical College (Qateel  Shomindu  and Priyanka) decides to become the ...                    
De Taali,"Comedy,Drama,Romance",Paglu  Amu & Abhi live the lives of each other. They drink  eat & sleep together. Amu is a girl amongst the two guys  though Paglu & Abhi don't treat her like one. Paglu is the one who ...                    
Haal-e-Dil,"Drama,Romance",While traveling by train Shekhar attempts to woo Sanjana Sharma  but finds out she had given her heart to a former boyfriend  Rohit  who is no more. Both share some misadventures en-route ...                    
Thodi Life Thoda Magic,Drama,People in general  in order to secure the future ruin the present... They are always looking around for magic to happen someday in their lives.. Without realising that Magic exists in the ...                    
Thoda Pyaar Thoda Magic,"Comedy,Drama,Family",An angel  a man and 4 orphans come together to bring you a story filled with fun  excitement  tears  love and magic.
Via Darjeeling,"Drama,Mystery,Thriller",A couple on their honeymoon is about to return to the city. On the last day  one of them disappears. The mystery returns to Calcutta one night...via Darjeeling. Faces are unmasked. New discoveries made.
Kismat Konnection,"Comedy,Drama,Romance",A luckless architect discovers a social activist to be his lucky charm. Unfortunately  she's protecting the community center he's aiming to win a contract to tear down.
Love Story 2050,"Action,Adventure,Drama",With the help of his uncle  a man travels to the future to try and bring his girlfriend back to life.
Contract,"Action,Crime,Drama",After witnessing the brutal death of his family  an embittered ex-army officer agrees to infiltrate a gang of terrorists.
Mission Istaanbul: Darr Ke Aagey Jeet Hai!,"Action,Adventure,Drama",A news reporter must uncover the secret on the 13th floor of a News Station.
Money Hai Toh Honey Hai,"Comedy,Drama",Manikchand Khiralal is a struggling model who gets kicked out by his mentor  Dolly  when she finds another boyfriend; Lalabhai Bharodia has no business acumen  and has lost millions; Shruti...                    
God Tussi Great Ho,"Comedy,Drama,Fantasy",A TV anchor keeps on blaming God for his unsuccessful life. God appears and he is given the God's Power for 10 days just to see how he manages to keep everyone happy.
Mumbai Meri Jaan,Drama,Five people whose lives are affected by the 2006 Mumbai train bombings.
Maan Gaye Mughall-E-Azam,"Comedy,Crime,Drama",Shortly before bomb-blasts rocked Bombay during 1993  India's Research and Analysis Wing assigns Arjun Rastogi to hilariously infiltrate a dance troupe 'Kalakar Theater Company' in St. ...                    
Rock On!!,"Drama,Music",Four friends reunite to relive their moments of glory as a rock band.
C Kkompany,"Comedy,Drama,Thriller",Three down on their luck men adapts a strategical idea of extortion  only to find themselves in deep trouble.
Chamku,"Action,Crime,Thriller",A traumatized child becomes a Naxalite  and upon being captured must agree to become a police-assassin.
Mukhbiir,"Crime,Drama,Mystery",A youth is compelled by police to infiltrate gangs and terrorist groups.
Tahaan,Drama,After his family's donkey is confiscated by a moneylender  8-year-old Tahaan travels across conflict-torn Kashmir to find his beloved pet.
1920,"Horror,Mystery,Romance",After forsaking his family and religion  a husband finds his wife is demoniacally possessed.
The Last Lear,Drama,"An aging Shakespearean actor takes on one of the bard's most challenging roles. Based on Utpal Dutt's play ""Aajker Shahjahan""."
Welcome to Sajjanpur,"Comedy,Drama",An educated man spends his days writing letters for the varied inhabitants of his small  poor  and illiterate village  in this political and social satire.
Saas Bahu Aur Sensex,"Comedy,Drama",Upper middle-class women leave daytime soaps to invest in the stock market.
Hari Puttar: A Comedy of Terrors,"Comedy,Drama,Family",Inadvertently left at home by adults  young cousins face-off against burglars.
Drona,"Action,Adventure,Fantasy",A young man learns he is the latest in line of a dynasty of ancestral warriors dedicated to guarding a mystic source of cosmic energy  and the time has come for him to take the role.
Hello,"Drama,Romance",Call-center workers receive a phone call from God.
Karzzzz,"Action,Drama,Musical",A singer/dancer  while on tour  starts hallucinating and having visions of having been there before.
Heroes,"Action,Adventure,Comedy",Two boys travel a thousand miles to deliver three letters as a part of their film school assignment. However  little do they know that the journey they have embarked upon will give a new meaning to their life.
Roadside Romeo,"Adventure,Animation,Comedy",This is the story of Romeo. A dude who was living the life. He had the works - the mansion to live in  the chicks to party with and the cars to be driven around in. Until one day  the ...                    
Ek Vivaah... Aisa Bhi,"Drama,Romance",Bhopal-based statuesque singing beauty  Chandni Shrivastava  falls in love with wealthy fellow-singer  Prem Ajmera. Her widowed dad  Bhushan  and his widowed mother both approve and they ...                    
Desh Drohi,"Action,Thriller",Raja arrives in Mumbai looking for a job but ends up killing the brother of a local drug dealer. Realising the corrupt nature of politics  he goes on a killing spree and kills ten people in 24 hours.
Fashion,Drama,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds out that there's a price for her glamorous new life.
Dasvidaniya,"Comedy,Drama","A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die."
Yuvvraaj,"Comedy,Drama,Romance",Two estranged brothers must learn to work together to claim their rightful share of an inheritance left solely to their eldest sibling.
Oye Lucky! Lucky Oye!,"Comedy,Crime,Drama",A burglar reflects on his life and loves; while the media speculates how he managed to pull off so many heists.
Oh My God!!,"Comedy,Drama",An employee puts more time trying to get people to invest in a novel money-making scheme.
Sorry Bhai!,"Comedy,Drama,Romance",While attending his brother's wedding  a Scientist falls for the bride.
1971,"Action,Drama,War",Based on true facts  the film revolves around 6 brave soldiers who escape from the clutches of the Pakistan Army and risk death with honour and courage with sacrifice towards their journey home.
Meerabai Not Out,"Comedy,Drama,Romance",A cricket-loving school-teacher faces challenges after agreeing to marry a doctor.
Wafaa,"Drama,Mystery,Romance",A recently widowed woman must deal with a male claiming to be her husband.
Gumnaam: The Mystery,"Crime,Mystery,Romance",A male tries to locate his model-turned-actress girlfriend after she mysteriously disappears.
Dil Kabaddi,"Comedy,Drama","The plot is similar to that of Woody Allen's movie named ""Husbands and Wives""."
Ram Gopal Varma Ki Aag,"Action,Adventure,Comedy",Nasik-based Heerendra Dhaan and Raj Ranade are bodyguards of a politician  but after their employer is implicated in a scam  they end up assaulting a police officer and flee to Mumbai. Once...                    
Aap Kaa Surroor: The Moviee - The Real Luv Story,"Drama,Romance,Thriller",A wealthy woman falls in love with a rock-star who will soon get arrested for Murder.
Aggar: Passion Betrayal Terror,"Romance,Thriller",A woman discovers that becoming attracted to the wrong man can have deadly consequences in this taut and tense thriller. Janvi (Udita Goswami) is a woman whose life would seem ideal on the ...                    
Anwar,"Drama,Romance,Thriller",Anwar is a Muslim who lives a middle-class lifestyle in Lucknow  India  along with his mom  brother  and Bhabhi  Suraiya. Anwar is doing a research on ancient Hindu Mandirs. They rent out a...                    
Aaja Nachle,"Drama,Family,Music",Dia's dance teacher is dying. She returns to the town where she learnt to live and dance and most importantly to save the endangered Ajanta theatre.
Apne,"Drama,Sport",A disgraced ex-boxer attempts to make his two sons champion boxers in order to clear his name. One son agrees with this goal  but the other does not  causing family conflicts.
Awarapan,"Action,Drama,Romance",A gangster is torn between love and loyalty and he must review his choice to whom he has to choose.
Bheja Fry,"Comedy,Drama",Ranjit  who makes fun of idiots  gets completely annoyed when he invites a tax inspector and a singer to his house.
Bhool Bhulaiyaa,"Comedy,Horror,Mystery",An NRI and his wife decide to stay in his ancestral home  paying no heed to the warnings about ghosts. Soon  inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.
Bhram: An Illusion,"Drama,Mystery,Romance",A substance-abusing model believes that her wealthy boyfriend's brother molested and killer her sister.
Big Brother,"Action,Crime,Drama",A docile man gets enraged when a politician's son throws acid on her face and later kills the miscreant. He is then hunted by the police and politicians who wants him dead.
68 Pages,Drama,Coming from a country like India that is still in denial  where being HIV+ is still a curse  '68 Pages' rips open the underbelly of its society to reveal how it stigmatizes and shuns those ...                    
Aur Pappu Pass Ho Gaya,Comedy,Day-dreamer Pappu lives a poor lifestyle with his mom and dad in a village in India. In order to better his prospects  he re-locates to Bombay and finds a job as a mechanic in Sardar Tara ...                    
Apna Asmaan,"Drama,Sci-Fi",In order to make their autistic child a genius  a couple injects a drug into his body  only to face drastic consequences later.
Black Friday,"Action,Crime,Drama",Black Friday is a film about the investigations following the 1993 serial Bombay bomb blasts  told through the different stories of the people involved --police  conspirators  victims  middlemen.
The Blue Umbrella,"Comedy,Drama,Family",In a small village when a little girl's prescious umbrella is stolen  things goes wrong for a greedy tea seller who was very much interested in buying that umbrella from her.
Blood Brothers,"Drama,Short,Thriller",Add a Plot »
Buddha Mar Gaya,Comedy,A rich industrialist pops it just before the IPO of his company - the family must now conceal his death till all the shares are sold.
Cash,"Action,Crime,Thriller",Three unique diamonds. Two teams of thieves. One big heist that spins out into a battle for the ultimate eternal prize: Cash.
Cheeni Kum,"Comedy,Romance",An egotistical 64-year-old chef and confirmed bachelor falls for a woman 30 years his junior.
Chhodon Naa Yaar,Thriller,Three college friends decide to make the film on the remote village only to hunt them by the spirit.
Darling,"Drama,Horror,Romance",A man cheats on his wife with his secretary  but things take a major shift after he accidentally kills her.
Chak De! India,"Drama,Family,Sport",Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.
Dhamaal,"Action,Adventure,Comedy",Four lazy slacker conmen buddies who are jobless  homeless and broke learn about the secret of a hidden treasure from a dying thief and later embark on a race against time to find the mobster's buried treasure and claim it while being pursued by a determined police inspector who is hellbent to get the treasure all by himself.
Dhan Dhana Dhan Goal,"Drama,Sport",Jaidev and Kavita Bhasin live a middle-classed lifestyle in Southall  England  along with their son  Sunny. During the mid-80s Jaidev was a huge fan of the all-Asian Southall Football Club ...                    
Dharm,"Drama,History",The movie is about a Hindu priest Pandit Chaturvedi (Pankaj Kapur) who is one of the most highly respected priests in the entire city of Varanasi. A man who lives for his religion  soaked ...                    
Journey Bombay to Goa: Laughter Unlimited,"Action,Adventure,Comedy",After learning a secret of a treasure from a runaway criminal  a group of tourists embarks on journey to find the hidden treasure from Bombay to Goa.
Dhokha,"Action,Drama,Romance",Post-September 11  2001  Zaid Ahmed Khan lives a wealthy lifestyle in Mumbai and resides in an apartment at Shanti Kutir  Juhu Tara Road  Mumbai  and works as an Assistant Commissioner of ...                    
Dil Dosti Etc,"Comedy,Crime,Drama",Delhi-based fellow-collegians-cum-hostelers  Sanjay Mishra  and Apurv  challenge each other to win the University elections and sleep with three different girls respectively before the ...                    
Dhol,"Comedy,Crime,Mystery",Four lazy friends try to woo a rich girl  in order to live a wealthy lifestyle. Their plan  however goes horribly wrong after they get embroiled with a notorious criminal.
Ek Chalis Ki Last Local,"Adventure,Comedy,Crime",A comic thriller about two people who miss the last local train at 1:40 am and how missing of their train changes their course of life forever.
Familywala,"Comedy,Drama,Romance","A rich girl Anjali (Diya Mirza) arrives in India from America after studying  to take over her fathers vast business empire. A poor man Raju (Arjun Rampal) who lives with ""Bawa"" (Paresh ...                    "
Gandhi My Father,"Biography,Drama,History",The account of troubled relationship between Mahatma Gandhi and his eldest son.
Don't Stop Dreaming,"Comedy,Drama",Set in Birmingham  it is the story of a girl and her two friends who start a multi-cultural-ethnic band. Against their parents wishes they put together spirit and energy to express themselves.
Dus Kahaniyaan,Drama,An anthology of ten short films dealing with diverse subjects such as infidelity  companionship  lust and a spectrum of human emotions.
Eklavya,"Action,Drama,Thriller",As the kingdom of Devigarh comes apart at the seams  an aging bodyguard attempts to protect the Royal Family  as well as keep its darkest secrets from ever coming to light.
Go,"Crime,Drama,Romance",Mrs. Dave does not approve of her daughter  Vasundhara's next-door boyfriend  Abhay Narula  and arranges her marriage with Carson Gharodia. In protest  she elopes with Abhay on his ...                    
Gauri: The Unborn,"Drama,Horror,Thriller",Mumbai-based Architect  Sudeep  secures a contract and decides to celebrate by going on a much-needed vacation to Mauritius along with his wife  Roshni  and school-going daughter  Shivani. ...                    
Heyy Babyy,"Comedy,Drama",Three bachelors who are compulsive womanizers find their lives turned upside down when a baby is left at their doorstep. The trio suspect each other of being the father.
Guru,"Biography,Drama",A villager  Gurukant Desai  arrives in Bombay 1958  and rises from its streets to become the GURU  the biggest tycoon in Indian history.
Honeymoon Travels Pvt. Ltd.,"Comedy,Drama,Romance",Six newly-married  diverse  honeymooning couples face marital bliss and discord  finding out more about themselves  their significant others and life in this happy-go-lucky  quirky drama.
Jahan Jaaeyega Hamen Paaeyega,"Action,Crime,Drama",Karan loves Anju  but she gets murdered  and Karan is jailed. After his escape he meets two young boys  Tito and Toni. Together they find Anju's death plotters and take revenge. He finds ...                    
Jhoom Barabar Jhoom,"Drama,Romance",A crazy love story full of lies  deceits and a complicated quadrangle where each one has to think quickly and dance around each other's emotions.
Jab We Met,"Comedy,Drama,Romance",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
Good Boy Bad Boy,"Comedy,Musical,Romance",Two college students exchange their classes after the college management mixed their identical names by mistake.
Fool N Final,"Action,Comedy,Crime",A bunch of misfits and gangsters embarks on a journey to find a lost and stolen diamond.
Khoya Khoya Chand,"Drama,Romance",Circa 1960s Lucknow-based author Zafar Ali Naqvi  who has issues with his father and his four wives  including the 4th one who lusts after him  re-locates to Bombay  starts writing for ...                    
Johnny Gaddaar,"Crime,Drama,Mystery",Police officers recount a tale of missing money which results in lies  deceit  betrayal and death.
Just Married: Marriage Was Only the Beginning!,"Comedy,Drama,Romance",A newly-married couple discover they are incompatible.
Kya Love Story Hai,"Comedy,Drama,Romance",The story of a woman's plan to find and marry a successful and self-made male.
Kudiyon Ka Hai Zamaana,Comedy,Mayuri  Kanika  Natasha  and Anjali have been friends for many years. All of them come from very wealthy families. While Mayuri has been married 4 times  she still has feelings for her ...                    
Hastey Hastey Follow Your Heart,"Comedy,Drama",A colorful  energetic and humorous depiction of how globalization and technology have made the world a really small place.
Laaga Chunari Mein Daag: Journey of a Woman,"Drama,Family,Romance",A small town girl lands in big bad Mumbai to earn an honest living but faces a confrontation she would've never dreamt of in her wildest dreams.
Life in a Metro,"Comedy,Drama,Romance",Six different stories  about nine people  each with different issues and problems  all occurring within one place: the METRO.
Loins of Punjab Presents,"Comedy,Music",A ruthless philantrophist. A bhangra rapper. An over-protected prodigy. A reckless actress. A lovelorn businessman. An entrepreneurial yogi. And a Loin King. Enter a roller-coaster world of...                    
Manorama Six Feet Under,"Crime,Drama,Mystery",Satyaveer accepts money from Manorama  wife of an irrigation minister  to collect evidence against her husband for having an extra-marital affair. He accepts  unaware that he too is being deceived.
Marigold,"Comedy,Romance",Ali Larter plays an American actress who becomes immersed in the Bollywood film world.
MP3: Mera Pehla Pehla Pyaar,"Comedy,Drama,Musical",Delhi-based Rohan Sood lives a wealthy lifestyle along with his businessman dad  Shekhar  and mom  Renu. He attends St. Lawrence High School and is friendly with Vasu  Sudhir and Javed  and...                    
Hattrick,"Comedy,Drama,Romance",Despite of cricket fever  there are two people in India who dislike it's influence over their lives. The first is Dr. Satyajit Chavan  who will not permit anyone in his home nor the ...                    
Naqaab,"Crime,Drama,Romance",After Sophia D'Costa is stalked and attacked in Goa by Rakesh  she decides to re-locate to Dubai. Here she rents a room in a villa near Jumeirah Beach  owned by wealthy Karan Oberoi. Six ...                    
Mumbai Salsa,"Comedy,Drama",Maya Chandhok lives a wealthy lifestyle in Delhi along with her parents. Refusing to buckle down to her mother's demands to get married  she re-locates to Kolkata  obtains her MBA  and then...                    
The Namesake,Drama,American-born Gogol  the son of Indian immigrants  wants to fit in among his fellow New Yorkers  despite his family's unwillingness to let go of their traditional ways.
Namastey London,"Comedy,Drama,Romance",A man takes his thoroughly-British daughter to his home country  India. There  he arranges her marriage to someone she considers a fool. The daughter attempts to outwit them  but the groom quietly and patiently hatches his own plan.
My Bollywood Bride,"Comedy,Drama,Romance",My Bollywood Bride tells the story of Alex  a copy-writer dreaming of being an adventure novelist someday  who meets and romances Indian beauty Reena  while she is vacationing in California...                    
Nehlle Pe Dehlla,"Action,Comedy,Crime",Two crooks attempts to blackmail a rich hotelier in order to get a huge sum of money. The plan goes horribly wrong as the hotelier is murdered and they have no choice except keeping his body to show him alive in order to be safe from law.
Nishabd,Drama,A man  who has been married for 27 years  falls in love with his 18-year-old daughter's friend.
No Smoking,"Drama,Mystery,Thriller",A surreal story about a man  his addiction of smoking  and a mysterious and powerful organisation  which claims to cure such addictions  though through very unusual ways.
Om Shanti Om,"Action,Comedy,Drama",In the 1970s  Om  an aspiring actor  is murdered  but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti  the love of his previous life.
