Title,Genre,Description
Arjun Patiala,"Action,Comedy",This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together  will they be able to accomplish their mission of a crime-free town with their goofy style of policing?
Jabariya Jodi,"Action,Comedy,Drama",A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage.
Pranaam,"Action,Crime,Drama",A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster.
The Sky Is Pink,"Drama,Family,Romance",It is based on the love story of a couple spanning 25 years  told through the lens of their spunky teenage daughter Aisha Chaudhary  who was diagnosed with a Pulmonary fibrosis .
Mission Mangal,"Drama,History",Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.
Saaho,"Action,Thriller","An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box "" their ultimate key to a treasure."
Dream Girl,"Comedy,Romance",Rom-com Movie  directed by Raaj Shaandilyaa  stars Ayushmann Khurrana who plays a 'dream girl'. In every love story  there is always one trying to win the heart of the other  who could be the 'dream girl'.
Section 375,"Crime,Drama",A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew  Anjali Dangle of having raped her at his residence.
The Zoya Factor,"Comedy,Drama,Romance",Based Anuja Chauhan's novel  Zoya Factor is a rom-com about Zoya  an advertising agent and her relationship with the captain of team India  Nikhil Khoda.
Pal Pal Dil Ke Paas,"Action,Drama,Romance",When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal  sparks are bound to fly. But will their love story blossom despite the odds?
Prassthanam,"Action,Drama",A rural politician marries a widow with kids and gains a respectable position and trusts his stepson more than his own in political matters; thus upsetting his son beyond limits.
P Se Pyaar F Se Faraar,"Crime,Drama,Romance",High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so  the young lovers opt for marriage by elopement. This  in turn  conjures up a storm the couple isn't prepared for.
Ghost,"Horror,Thriller",The story of the film follows Karan Khanna  a politician of Indian origin in the United Kingdom  who is accused of killing his wife. He tells his lawyer that a spirit committed the murder and should be tried.
Bala,Comedy,It tells the story of a man who is balding prematurely and how he copes up with the situation.
#Yaaram,"Comedy,Romance",All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for ...                    
Housefull 4,"Action,Comedy,Fantasy",A set of three brothers are due to marry a set of three sisters  until one of the brothers starts to realize that they are all reincarnations from 600 years earlier and the wrong couples are about to get married.
Saand Ki Aankh,"Biography,Drama",Both over the age of 60  Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills.
Made in China,"Comedy,Drama",Story of Failed Gujarati Businessman  who jumps into unknown world of China to get once in a life time business idea  which will change his life.
Ujda Chaman,Comedy,Ujda Chaman is about a 30 -year-old bachelor Chaman Kohli  a Hindi lecturer with Premature Balding and in quest of a beautiful wife. After facing several rejections as a prospective groom ...                    
Bypass Road,"Drama,Thriller",The Story revolves around a young man Vikram (Neil Nitin Mukesh) who is a fashion prodigy. The story is layered with a murder in town.
Satellite Shankar,"Action,Drama",The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.
Jhalki,Drama,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey ...                    
Marjaavaan,"Action,Romance",Marjaavaan is an upcoming Indian action romance film directed by Milap Zaveri starring Ritesh Deshmukh  Sidharth Malhotra  Tara Sutaria and Rakul Preet Singh. The co producer of the film ...                    
Motichoor Chaknachoor,"Comedy,Romance",A hilarious story of a 36-year-old jobless man Pushpender  trying to find a wife and Anita who's also looking for a husband. But there's a catch - Anita wants to settle abroad after marriage.
Keep Safe Distance,"Action,Thriller",Keep Safe Distance is an upcoming Indian thriller film directed by Rama Mehra and produced by vishnu dhanraj sharma and mahesh sharma under the rama dhanraj production
Pagalpanti,"Action,Comedy",A tourist group from India sets out on a vacation to only have their trip to turn into a patriotic mission. Will it end well for them?
Ramprasad Ki Tehrvi,"Comedy,Drama",Add a Plot »
Yeh Saali Aashiqui,Thriller,Add a Plot »
Dil Bechara,"Drama,Romance",A love story about two cancer patients.
Pati Patni Aur Woh,"Comedy,Romance",Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman.
Commando 3,"Action,Thriller",Commando 3 is a Hindi movie starring Vidyut Jammwal  Adah Sharma  Angira Dhar and Gulshan Devaiah in prominent roles. It is an action drama thriller directed by Aditya Datt.
Mardaani 2,"Action,Drama,Thriller",Shivani Shivaji Roy locks horns with the devil incarnate  a young & remorseless serial killer who is raping & murdering young women.
Dabangg 3,Action,Third installment of the Dabanng film series.
Good Newwz,"Comedy,Drama,Romance",It is an upcoming Indian romantic comedy film starring Akshay Kumar  Kiara Advani  Kareena Kapoor Khan and Diljit Dosanjh in lead roles.
Kaalakaandi,"Comedy,Thriller",Unfolding through a course of a night in Mumbai  Kaalakaandi showcases three parallel tracks -- a man who discovers he has terminal illness decides to let go of his principles and live a ...                    
Vodka Diaries,"Mystery,Thriller",In the misty town of Manali  ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night  which might be connected to the night club  Vodka Diaries.
My Birthday Song,Thriller,After a wild night of impulse and passion  advertising executive Rajiv Kaul must navigate the murky lines between life  death  fact  and fiction.
Nirdosh,"Drama,Mystery,Thriller",Arbaaz Khan plays the role of the investigating officer in a murder case in which Manjari Fadnnis emerges as the prime suspect and is arrested. However  as events unfold  many possibilities and suspects come to the fore.
Mukkabaaz,"Action,Drama,Sport",A boxer struggles to make his mark in the boxing world.
Union Leader,Drama,Resigned to his fate as a worker in a notoriously shoddy chemical plant  Jay realizes that he must not only find a way to support his family  but also overcome grave social and legal injustice in the system.
Love Per Square Foot,"Comedy,Romance",Individually  Sanjay and Karina don't earn enough to be able to buy a home  so they enter into a marriage of convenience.
Aiyaary,"Action,Thriller",After finding out about an illegal arms deal  a military intelligence officer goes rogue with highly sensitive data related to his organization  causing his mentor: a colonel  to hunt him down.
Padmaavat,"Drama,History,Romance",Set in medieval Rajasthan  Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.
Kuchh Bheege Alfaaz,Romance,In a world of pings  likes  tweets  shares and comments  2 strangers connect over a mis-dial and WhatsApp their way into each others' hearts  safely hidden behind digital screens. But will the emojis translate to emotions when they reveal their truth to one another.
Jaane kyun de yaaron,Drama,Two boys with the dreams to change their ordinary lives change the entire corruption system as they take a stand against police brutality with the little help of a benevolent guardian.
Veerey Ki Wedding,"Comedy,Romance",What happens when the most eligible bachelor in Delhi  Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the ...                    
Sonu Ke Titu Ki Sweety,"Comedy,Romance",Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.
Hate Story IV,"Crime,Drama,Thriller",London based Aryan and Rajveer are son of business tycoon Vikram Khurana.Aryan is handling the family business and is looking out for a new female face for his campaign.He is in love with ...                    
Dil Juunglee,"Comedy,Romance",The movie is a romantic comedy that displays the ups and downs in Sumit and Karol's relationship.
3 Storeys,Drama,3 Storeys is an intriguing film full of twists and turns. Over the course of 3 acts  dark secrets and past regrets are revealed  and it becomes clear that life in this small community is ...                    
Raid,"Action,Crime,Drama",A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.
Hichki,"Comedy,Drama",Hichki presents a positive and inspiring story about a woman who turns her biggest weakness into her biggest strength.
Missing,"Drama,Mystery,Thriller",Sushant Dubey checks in at a beach resort of Mauritius late night with his lovely wife Aparna and three-year-old daughter  Titli  who has high fever. As Aparna wakes up the next morning  ...                    
Baaghi 2,"Action,Thriller",A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa  India.
October,"Drama,Romance",A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?
Mercury,"Horror,Thriller",Five friends maimed from mercury poisoning try to cover up for an accident that left a man dead.
Beyond the Clouds,"Drama,Family",When on the run from the cops   Amir finds his estranged sister Tara  who in a bid to protect her brother lands up in jail. Their entire lives have been clouded by despair as unexpectedly the light shines on them from Beyond the Clouds.
Nanu Ki Jaanu,"Comedy,Drama,Horror",Nanu Ki Jaanu is a dark comedy  the story of which revolves around a Delhi land mafia agent (Abhay Deol) who tries to deal with the arrival of a ghost in his apartment.
Daas Dev,"Drama,Thriller",Daas Dev is a 2018 romantic-thriller  with an interesting  modern take on the classic tale of DevDas-Paro-Chandramukhi love triangle  starring Rahul Bhat as Dev  the supremely talented Richa Chadda as Paro  and Aditi Rao Hydari as Chandni.
Omerta,"Action,Biography,Crime",A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh  who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.
Raazi,"Action,Drama,Thriller",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
Hope Aur Hum,"Comedy,Drama,Family",A father obsessed with an old school copying machine wreaks havoc on the family  causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other.
High Jack,Comedy,Rakesh  an out of luck DJ  has just found out that the gig he was to perform in Goa  has been canceled. He is in urgent requirement of money to save his Dad's clinic and in that desperation...                    
Khajoor Pe Atke,Comedy,Hilarity ensues when a member of the Sharma family tethers between life and death as his relatives from across the country set up camp in Mumbai waiting for the inevitable that seems to have been delayed  indefinitely.
Parmanu: The Story of Pokhran,"Action,Drama,History",Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test  where they face challenges from the American Lacrosse satellite and local spies.
Bioscopewala,Drama,A woman meets her dead father's old friend  who was the operator of a Bioscope show that she loved in her childhood. Connecting India and Afghanistan  a story of love and cinema unfolds.
Bhavesh Joshi Superhero,"Action,Drama",The origin story of Bhavesh Joshi  an Indian superhero  who sets out to fulfill his slain friend's wish to clean and reform the country  by training himself to fight and wearing a mask.
Phamous,"Comedy,Crime,Drama",Set in the wild wild east  the story of Phamous invites you on an odyssey that hits your heart and face at the same time. Find love  power and wisdom amidst guns and dhakkad's. In a clash ...                    
Race 3,"Action,Thriller",Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.
Dhadak,"Comedy,Drama,Romance",Set in Rajasthan  this love story explores how the protagonists deal with issues like differences between castes and honor killings.
Sanju,"Biography,Drama",Sanju is a biopic of the controversial life of actor Sanjay Dutt: his film career  jail sentence and personal life.
Saheb Biwi Aur Gangster 3,"Action,Crime,Drama",The royal saga of deceit  conspiracy  greed and lust continues in the third installment of the series  as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain.
Nawabzaade,"Comedy,Romance",Three best friends fall in love with a simple  stay-at-home girl from their neighbourhood. As they all go out of their way to win her love  they are pitted against each other in their efforts.
Mulk,Drama,One family member tries to help her own family which are trapped in a dark controversy.
Brij Mohan Amar Rahe,"Comedy,Crime,Drama",A man fakes his own death. Unfortunately for him  starting a new life with a new identity will only bring him more problems.
Karwaan,"Comedy,Drama",Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.
Gold,"Drama,History,Sport",The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.
Satyameva Jayate,"Action,Thriller",DCP Shivansh has been tasked to catch Vir  the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line  the law.
Happy Phirr Bhag Jayegi,Comedy,When Professor Harpreet Kaur lands in Shanghai  the last thing she would have on her mind is getting kidnapped. A crazy comedy of errors unrolls as the 'Happy' gang - Bagga  Guddu  Happy ...                    
Genius,"Action,Thriller",An orphan  with a brilliant mind  joins RAW and is burdened by the killing of his entire team. Until he doesn't avenge their death  he can't live in peace with his love. So  he hatches a genius plan.
Yamla Pagla Deewana Phir Se...,"Action,Comedy",An upright Ayurveda practitioner is hounded by big pharmacy giants for his age-old formula that cures everything.
Stree,"Comedy,Horror","In the small town of Chanderi  the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s."
Paltan,"Action,Drama,History",An action-war drama based on the 1967 Nathu La and Cho La clashes along the Sikkim border after 1962 Sino-Indian War.
Laila Majnu,"Drama,Romance",Taking the leap out of the classic folklore  the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.
Gali Guleiyan,"Drama,Thriller",The film is a psychological drama about a man who is trapped within the city walls and in his own mind. He attempts to break free to find a human connection.
Halkaa,"Drama,Family",Halkaa (Relief) is a unique take on a slum child's heroism  aspirations and dreams. The child protagonist  Pichku fights for the basic problem that he faces everyday; defecating in the open among others.
Pataakha,"Action,Comedy,Drama","Based on Charan Singh Pathik's short story Do Behnein  Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them."
Batti Gul Meter Chalu,Drama,The life of three friends takes a tragic turn due to an inflated electricity bill  which leads to a courtroom drama and social awakening.
Love Sonia,Drama,Inspired by real life events  Love Sonia is the story of a young girl's journey to rescue her sister from the dangerous world of international sex trafficking.
Manto,"Biography,Drama",The film is a biographical account of writer Saadat Hasan Manto's life and is set in 1940s India.
Ishqeria,"Comedy,Romance",Ishqeria is a story of a small town girl who falls madly in love with the most sought after guy in college. It is a journey of first love  growing up and second chances.
Manmarziyaan,Romance,A love triangle between a spirited young woman  her outgoing boyfriend and a fiance who's husband material.
Mitron,Comedy,In order to bring stability in Jai's life  his father decides to get him married. However  fate has other plans.
Sui Dhaaga: Made in India,"Comedy,Drama",An unemployed small-town man defies all odds and naysayers and starts his own garment business.
Baazaar,"Crime,Drama,Thriller",After moving to Mumbai  an ambitious young man becomes the stock trader for a notorious businessman.
Jalebi,Drama,A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.
FryDay,Comedy,A desperate salesman Rajiv (Varun Sharma) is on the brink of losing his job at a water purifying company and asked to leave if he fails to sell at least one purifier by Friday. But  Rajiv finds himself in the middle of a marital mess when a seasoned ex-salesman Manchanda (Sanjay Mishra) puts him in touch with a quirky couple.
Tumbbad,"Drama,Fantasy,Horror",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
Helicopter Eela,Drama,Eela is an aspiring playback singer and single mother. She has given up all her dreams to raise her only son. But now her baby son 'Vivan' is all grown up and being a typical young ...                    
Namaste England,"Comedy,Drama,Romance",An Indian couple go to great lengths to move to London  England.
Andhadhun,"Crime,Thriller",A series of mysterious events changes the life of a blind pianist  who must now report a crime that he should technically know nothing of.
Badhaai Ho,"Comedy,Drama",A man is embarrassed when he finds out his mother is pregnant.
5 Weddings,"Comedy,Drama,Romance",An American journalist travels to India to cover Bollywood weddings  only to uncover a mosaic of cultural clashes  transgender tangles and lost loves with her travels culminating at a destination where the only journey is the one within.
Kaashi in Search of Ganga,Thriller,The movie is about two siblings  Kashi (Sharman Joshi) and his sister Ganga. The film is set in the Indian city of Benaras  also known as Kashi.[9] Kashi is a man who belongs to a community who are involved in performing cremation rituals.
Dassehra,"Action,Thriller",It's a story of an honest police officer who is trapped under adverse circumstances. It's is a political thriller driven by crime and politics. The film revolves around the background of a ...                    
The Journey of Karma,Drama,Its a story of a slum girl who is brilliant in studies and tries to chase her dreams to work in America. She travels through her journey full of twist n turns  surprises  lust with a mysterious old man.
Jack & Dil,"Comedy,Family",JACK and DIL is a modern day story of new age man Jack  carefree with little materialistic ambitions  earning as much to meet his daily needs. Jack's only passion is to read detective ...                    
Mohalla Assi,"Comedy,Drama",A Sanskrit priest decides to take matters in n his hand when the locals of holy town Banaras stars to lure foreign tourists with fake spiritual gurus.
Pihu,"Drama,Thriller",The social thriller starring the two year baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler  she is occasionally trapped in the accidental situations.
Bhaiaji Superhit,"Action,Comedy,Drama",A goon tries to win his wife back by making a movie on their love story.
Rajma Chawal,"Comedy,Drama,Family",An internet-rookie father attempts to use social media to enhance his faltering relationship with his millennial son.
Zero,"Comedy,Drama,Romance",The story revolves around Bauua Singh (Shah Rukh Khan)  a vertically challenged man  who is full of charm and wit  with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence  he is challenged to broaden his horizon and find purpose in life.
Simmba,"Action,Comedy,Drama",Simmba  a Corrupt Officer  enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.
Tiger Zinda Hai,"Action,Adventure,Thriller",When a group of Indian and Pakistani nurses are held hostage in Iraq by a terrorist organization  a secret agent is drawn out of hiding to rescue them.
Golmaal Again,"Action,Comedy,Fantasy",The gang encounters with some spiritual bodies and finds out the truth about the Jamnadas Orphanage where they were brought up.
Judwaa 2,"Action,Comedy",Prem and Raja are twin brothers who are seperated at birth but are uniquely connected to eachother via their reflexes. They reunite as adults and set out to take down the underground smuggling world.
OK Jaanu,"Drama,Romance",Adi and Tara move to Mumbai to pursue their dreams. A chance meeting sparks off a heady  no strings attached romance until their careers pull them apart. Will ambition prevail over matters of the heart?
Coffee with D,Comedy,"A celebrated journalist interviews one of the world's most dreaded terrorists  ""D""."
Kaabil,"Action,Drama,Thriller",A blind man seeks revenge against a corrupt politician and his brother after his wife is raped and killed.
Raees,"Action,Crime,Drama",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.
Thugs of Hindostan,"Action,Adventure",A story about one man's love for his nation and another's love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas.
Hind Ka Napak Ko Jawab,"Action,Comedy",A sequel to MSG Lion Heart  this story is about a secret agent equipped with weapons who is all set to take on the enemies.
Running Shaadi,"Comedy,Romance",Two friends  Ram Bharose and tech genius Cyberjeet  create a website that helps lovers to elope. The site is an instant hit; young couples line up for the opportunity to escape strict families and run away with the ones they love.
The Ghazi Attack,"Action,Thriller,War",A Pakistani submarine  Ghazi plans to secretly attack Vizag port. For doing so  it has to get past Indian submarine S21.
Irada,"Drama,Mystery,Thriller",An NIA officer tries to unravel the conspiracy that led to the bombing of a business tycoon's factory.
Rangoon,"Action,Drama,History",A love triangle forms against the backdrop of the Second World War.
Wedding Anniversary,Drama,Kahani met her Prince Charming Nirbhay in Goa for the first time and fell in love. So far their journey together has been excellent and today is their first wedding anniversary.
Jeena Isi Ka Naam Hai,Drama,A bollywood entertainer with universal issues directed by Keshhav Panneriy  this movie stars Arbaaz Khan  Ashutosh Rana  Himansh Kohli  Manjari Phadnis and Prem Chopra.
Badrinath Ki Dulhania,"Comedy,Drama,Romance",Badrinath Bansal from Jhansi and Vaidehi Trivedi from Kota belong to small towns but have diametrically opposite opinions on everything. This leads to a clash of ideologies  despite both of them recognizing the goodness in each other.
Trapped,"Action,Drama,Thriller",A man struggles to survive after he unintentionally locks himself up in a high rise devoid of food  water and electricity.
Aa Gaya Hero,Action,ACP Ravindra Varma  a fearless and sincere police officer  is called to nab terrorist Milind Shinde  who has political backing.
Mantra,"Drama,Family",An Indian business owner struggles to keep his company afloat amid global competition while trying to make up for lost time with his family.
Phillauri,"Comedy,Drama,Fantasy",A man must marry a tree to ward off threats to his love-life  but the tree turns out to have more spirit than the man bargained for.
Machine,"Action,Mystery,Romance",Machine depicts the story of racing enthusiasts   who meet each other under mysterious circumstances. As their bond becomes stronger  they eventually fall in love. However  new things begin to unfold  which change their lives forever
